embedding,labels
[0.83137256 0.84705883 0.39607844 Ellipsis 0.6901961 1.0 0.5058824],[137 248 249]
[0.3254902 0.2627451 0.81960785 Ellipsis 0.0 0.83137256 1.0],[437 439]
[0.6156863 0.30980393 0.6431373 Ellipsis 0.12941177 0.9529412 0.35686275],[ 44 510]
[0.39607844 0.2509804 0.6156863 Ellipsis 0.0 1.0 0.53333336],[423 476]
[0.69803923 0.4627451 0.7137255 Ellipsis 0.36078432 0.05098039 1.0],[137 148]
[0.0 0.79607844 0.4392157 Ellipsis 0.2509804 0.8666667 1.0],[121]
[0.18431373 0.95686275 0.7607843 Ellipsis 1.0 0.0 1.0],[ 0 96 97]
[0.8235294 1.0 0.6901961 Ellipsis 0.1764706 0.27450982 0.18431373],[137 251]
[0.38039216 0.39607844 0.7647059 Ellipsis 0.0 0.5137255 0.59607846],[ 72  73  74 122]
[0.5686275 0.7490196 0.9882353 Ellipsis 0.7019608 0.54901963 0.6392157],[  0  27 137 140 248 250]
[0.45490196 0.23137255 0.3529412 Ellipsis 0.68235296 0.30588236 0.5529412],[  0 383]
[0.08627451 0.5019608 0.25882354 Ellipsis 0.14509805 0.80784315 1.0],[300 307 493]
[0.0 0.5803922 0.57254905 Ellipsis 0.13725491 0.7254902 0.0],[  0 137 525]
[0.31764707 0.2 0.74509805 Ellipsis 0.52156866 0.50980395 0.73333335],[94]
[0.6901961 0.3019608 0.49411765 Ellipsis 0.54509807 0.57254905 0.84313726],[205 206]
[0.2901961 0.3019608 0.69803923 Ellipsis 0.72156864 0.0 0.8901961],[524]
[0.5058824 0.33333334 0.40784314 Ellipsis 0.70980394 0.48235294 0.0],[467]
[0.6156863 0.23921569 0.63529414 Ellipsis 0.5294118 1.0 0.50980395],[185 186]
[0.22745098 0.23921569 0.7254902 Ellipsis 0.93333334 0.10588235 0.0],[ 0 49]
[0.6745098 0.09803922 0.5019608 Ellipsis 0.67058825 0.5176471 0.53333336],[152 160]
[0.5529412 0.6039216 0.5411765 Ellipsis 0.32156864 0.6666667 0.9882353],[169]
[0.11764706 0.7176471 0.30588236 Ellipsis 0.11372549 0.5254902 0.40784314],[  0  70 300 510]
[0.61960787 0.5058824 0.58431375 Ellipsis 0.52156866 0.50980395 0.73333335],[ 92 161]
[0.34901962 0.5019608 0.5529412 Ellipsis 0.7529412 0.68235296 1.0],[ 72  73  74  77 122]
"[0.65882355 0.1254902  0.4627451  0.43137255 0.5921569  0.31764707
 0.23921569 0.7254902  0.67058825 0.6901961  0.4862745  0.11764706
 0.5176471  0.6509804  0.42352942 0.21568628 0.32941177 1.
 0.77254903 0.7058824  0.         0.4862745  0.20392157 0.78039217
 0.4117647  0.5294118  0.41568628 0.69803923 0.3764706  0.5372549
 0.46666667 0.7176471  0.6156863  0.4745098  0.7176471  0.37254903
 0.7254902  0.32941177 0.8039216  0.32156864 0.5411765  0.3529412
 0.8627451  0.34901962 0.70980394 0.12941177 0.8156863  0.47058824
 0.5529412  0.48235294 0.7254902  0.68235296 0.627451   0.6745098
 0.6509804  0.6        0.2        0.4745098  0.5019608  0.10588235
 0.31764707 0.76862746 0.39215687 0.15294118 0.22745098 0.48235294
 0.5254902  0.7254902  0.6901961  0.29803923 0.5411765  0.11372549
 0.61960787 0.44313726 0.36078432 0.14901961 0.49803922 0.3137255
 0.5254902  0.         0.16078432 0.67058825 0.6862745  1.
 0.4627451  0.36862746 0.80784315 0.3529412  0.20392157 0.34901962
 0.6156863  0.14901961 0.15294118 0.3254902  0.49019608 0.21176471
 0.7058824  0.54901963 0.28235295 0.36078432 0.4745098  1.
 0.627451   0.6039216  0.53333336 0.77254903 0.5176471  0.46666667
 0.9372549  0.05882353 0.4117647  0.62352943 0.         1.
 0.6627451  0.6784314  0.05882353 0.6039216  0.6745098  0.5764706
 0.5137255  0.         0.56078434 1.         1.         0.7176471
 0.60784316 0.01176471 0.6313726  0.12941177 0.4745098  0.44313726
 0.5647059  0.29803923 0.22352941 0.73333335 0.68235296 0.69803923
 0.46666667 0.13333334 0.5176471  0.6509804  0.42745098 0.25882354
 0.3372549  1.         0.69411767 0.6431373  0.         0.42352942
 0.19215687 0.6745098  0.44705883 0.53333336 0.4117647  0.70980394
 0.2901961  0.627451   0.38431373 0.79607844 0.69411767 0.5529412
 0.73333335 0.30588236 0.7490196  0.2509804  0.72156864 0.20392157
 0.6509804  0.33333334 0.95686275 0.30588236 0.7294118  0.06666667
 0.83137256 0.40784314 0.50980395 0.54901963 0.7176471  0.80784315
 0.5686275  0.92156863 0.6627451  0.5372549  0.2901961  0.49411765
 0.48235294 0.10196079 0.33333334 0.7411765  0.38039216 0.16862746
 0.15686275 0.5137255  0.5254902  0.6862745  0.6627451  0.27058825
 0.4745098  0.15686275 0.6313726  0.5176471  0.3254902  0.16078432
 0.47843137 0.37254903 0.5764706  0.         0.09803922 0.6509804
 0.80784315 1.         0.4627451  0.42745098 0.85882354 0.38039216
 0.29411766 0.30588236 0.6156863  0.1254902  0.2        0.30588236
 0.5254902  0.1882353  0.7607843  0.5294118  0.24705882 0.36862746
 0.49803922 1.         0.56078434 0.4862745  0.4        0.6901961
 0.5019608  0.49019608 0.9529412  0.1254902  0.5294118  0.5137255
 0.         1.         0.6156863  0.5529412  0.05490196 0.5372549
 0.85490197 0.5803922  0.4745098  0.         0.5568628  1.
 1.         0.87058824 0.5647059  0.01176471 0.43529412 0.4509804
 0.7529412  0.61960787 0.5803922  0.5176471  0.39215687 0.38039216
 1.         0.49411765 0.23921569 0.16470589 0.92941177 0.7647059
 0.19607843 0.46666667 0.44313726 0.19215687 0.49411765 0.25882354
 0.42745098 0.5294118  0.8039216  0.27450982 0.49411765 0.5882353
 0.8392157  1.         0.76862746 0.21176471 0.36862746 0.17254902
 0.73333335 0.1254902  0.69803923 1.         0.654902   0.3647059
 0.8666667  0.         0.39607844 0.27450982 0.         1.
 0.73333335 0.5058824  1.         0.33333334 0.62352943 1.
 0.12156863 0.34901962 0.28627452 0.37254903 0.9607843  0.62352943
 0.5411765  0.56078434 0.5921569  0.         0.73333335 0.87058824
 1.         0.01568628 0.21960784 0.627451   0.49019608 0.01176471
 1.         0.65882355 0.03137255 0.7607843  0.6        0.78431374
 0.6901961  0.22352941 1.         0.06666667 0.43529412 0.
 1.         0.21960784 0.58431375 1.         1.         0.
 0.         0.99607843 0.2784314  0.         0.         0.6784314
 1.         0.26666668 0.05490196 0.23921569 0.29411766 0.
 0.3529412  0.07450981 0.30980393 0.74509805 0.7411765  1.
 0.00784314 0.12156863 1.         0.7058824  0.20784314 0.44705883
 0.3647059  0.         0.         0.5372549  0.         0.7372549
 0.64705884 0.93333334 1.         0.         0.95686275 0.
 0.4392157  1.         0.81960785 0.02745098 0.         0.5882353
 0.5294118  0.39215687 0.62352943 0.4117647  0.45490196 0.39215687
 0.72156864 0.31764707 1.         0.7529412  0.2627451  0.21176471
 0.4        0.47843137 0.28627452 0.2509804  0.4117647  0.01568628
 0.5568628  0.26666668 0.4392157  0.46666667 0.88235295 0.3372549
 0.6313726  0.68235296 0.59607846 0.6745098  0.9411765  0.21176471
 0.4        0.28627452 0.6509804  0.7411765  0.5137255  0.7372549
 0.14117648 0.49411765 0.49019608 0.15294118 0.8156863  0.2784314
 0.25490198 1.         0.6901961  0.80784315 0.9764706  0.5921569
 0.67058825 1.         0.36078432 1.         0.28235295 0.43529412
 0.49803922 0.74509805 0.         1.         0.4627451  0.04705882
 0.85490197 1.         1.         0.3529412  0.3529412  0.49803922
 0.         0.08235294 0.76862746 0.8745098  0.40392157 0.54901963
 0.8039216  0.30588236 0.3647059  0.2627451  0.9882353  0.09019608
 0.2901961  0.4117647  0.98039216 0.4862745  0.9372549  1.
 0.69803923 0.7607843  0.54901963 0.75686276 0.         0.
 0.20784314 0.93333334 0.49411765 0.54901963 0.         0.
 0.6156863  0.05882353 0.7137255  0.         1.         0.8039216
 0.5921569  0.63529414 0.5019608  0.5411765  0.67058825 0.3019608
 0.38039216 0.29803923 0.03137255 0.20392157 0.14509805 0.16470589
 0.         0.37254903 0.5568628  0.8156863  0.7254902  0.14901961
 0.7372549  0.         0.64705884 0.5568628  0.84705883 0.3137255
 0.16470589 0.33333334 0.43529412 0.41568628 0.7411765  0.43529412
 0.57254905 0.31764707 0.27058825 0.20392157 1.         0.4509804
 0.10588235 0.04705882 0.64705884 0.6313726  0.4509804  0.5882353
 0.41568628 0.3529412  0.6862745  0.25490198 0.5411765  0.0627451
 0.6        0.42745098 0.6431373  0.4117647  0.8509804  1.
 0.42352942 0.62352943 0.16862746 0.34901962 0.52156866 0.4
 0.67058825 0.85490197 0.8039216  0.56078434 0.58431375 0.30980393
 0.04705882 0.64705884 0.3882353  1.         0.60784316 0.6901961
 0.7294118  0.2901961  0.32156864 1.         0.         0.23137255
 0.5529412  0.4117647  0.43529412 0.41568628 0.53333336 0.23529412
 0.6156863  0.21568628 0.41568628 0.7137255  1.         0.45490196
 0.52156866 0.42745098 0.5568628  0.29411766 1.         0.73333335
 0.36862746 0.4745098  0.5058824  0.76862746 0.63529414 0.40392157
 0.62352943 0.39215687 0.47058824 0.2627451  0.53333336 0.20392157
 0.42745098 0.5686275  0.6627451  0.5058824  0.19215687 1.
 0.49411765 0.         0.29803923 0.8509804  0.7529412  0.5686275
 0.5882353  0.23921569 0.5019608  0.37254903 0.65882355 0.39607844
 0.24705882 0.30588236 0.3647059  0.43137255 1.         0.46666667
 0.9372549  0.21176471 0.36862746 0.2901961  0.47058824 0.0627451
 0.07843138 0.73333335 0.03137255 0.6509804  0.22352941 0.70980394
 0.69411767 0.57254905 0.50980395 0.4        0.7882353  0.8666667
 1.         0.21568628 0.02745098 0.49803922 0.3372549  0.7058824
 0.7647059  0.5686275  0.7882353  0.32156864 0.18431373 0.8039216
 1.         0.40392157 0.20784314 0.33333334 0.54509807 0.3254902
 0.44313726 0.5921569  0.4627451  0.5764706  0.49411765 0.45490196
 0.5921569  0.         0.47843137 0.         0.3882353  0.6745098
 0.627451   0.78039217 0.18039216 1.         0.19215687 0.7176471
 0.28235295 0.654902   0.42745098 0.49019608 1.         0.84313726
 1.         0.25882354 0.38039216 0.9843137  1.         0.94509804
 0.0627451  0.4745098  0.6509804  0.3137255  0.6901961  0.3137255
 0.         0.45882353 1.         0.83137256 0.4627451  0.12156863
 0.03921569 0.50980395 0.64705884 0.4        0.15294118 0.18431373
 0.5372549  0.6117647  0.         0.81960785 1.         0.03137255
 0.32156864 0.6313726  0.34117648 0.29411766 0.20784314 0.89411765
 0.9254902  0.27450982 0.60784316 0.14117648 0.5686275  0.
 0.35686275 0.         0.41568628 0.         0.70980394 0.4
 0.41960785 1.         0.         0.04313726 0.05490196 0.42745098
 0.41960785 0.6745098  0.6862745  0.         0.5137255  1.
 0.         0.16862746 0.3372549  0.20392157 0.7137255  0.64705884
 1.         0.5764706  0.7058824  0.45490196 0.5137255  0.10196079
 1.         0.00392157 0.4117647  0.654902   0.2901961  0.34901962
 0.48235294 0.27450982 0.31764707 0.22745098 0.04313726 0.9137255
 0.01176471 0.9490196  0.32941177 0.39215687 1.         0.26666668
 0.5019608  0.50980395 0.6        0.5372549  0.654902   0.5058824
 0.6        0.3372549  1.         0.5058824  0.         0.20392157
 0.7529412  0.57254905 0.2        0.29411766 0.15294118 0.32941177
 0.7411765  0.79607844 0.24313726 0.02352941 0.7921569  0.43137255
 0.1882353  0.5058824  0.58431375 0.5019608  0.45490196 0.54901963
 0.18039216 0.7058824  0.47058824 0.7372549  0.38039216 0.53333336
 0.09803922 0.09803922 0.2901961  0.0627451  0.14901961 0.2784314
 0.84313726 1.         0.654902   0.4392157  0.6862745  0.5372549
 0.81960785 0.60784316 0.         1.         1.         0.54509807
 0.4862745  0.7294118  0.42745098 0.7254902  0.42352942 0.1764706
 1.         0.3019608  1.         0.3647059  0.         0.13333334
 0.4627451  0.34117648 0.13333334 0.6        0.         0.8
 0.69411767 0.23137255 0.54509807 0.00784314 0.85882354 0.24705882
 0.6627451  0.         0.52156866 0.2        0.94509804 0.78039217
 1.         0.43529412 0.6745098  0.         0.04313726 0.14901961
 0.12156863 0.03529412 0.         0.47058824 0.6392157  0.
 1.         1.         0.70980394 0.17254902 0.         0.2627451
 0.5921569  0.94509804 1.         0.6627451  0.47843137 0.59607846
 0.         0.         0.18431373 0.22745098 0.08235294 0.75686276
 0.05098039 0.57254905 0.10588235 0.26666668 0.4862745  0.02745098
 0.         0.30588236 1.         0.5176471  0.02745098 0.6862745
 1.         0.        ]",[ 98  99 101]
[0.7529412 0.5372549 0.78039217 Ellipsis 0.9882353 0.43529412 0.74509805],[ 29 137]
[0.11764706 0.35686275 0.8352941 Ellipsis 0.7647059 1.0 0.08627451],[419]
[0.33333334 0.11372549 0.7176471 Ellipsis 0.4862745 0.09803922 0.5882353],[  0 379]
[0.2 0.2627451 0.43529412 Ellipsis 0.0 0.30588236 0.44705883],[  0 481]
[0.3254902 0.3647059 0.827451 Ellipsis 0.8117647 1.0 0.0],[  0 138 185 401]
[0.42352942 0.53333336 0.5568628 Ellipsis 0.9137255 1.0 1.0],[200]
[0.12156863 0.3882353 0.7137255 Ellipsis 0.0 0.0 0.46666667],[  0 379]
[0.81960785 0.39607844 0.60784316 Ellipsis 0.47843137 0.16862746 0.6745098],[501]
[0.627451 0.21176471 0.4745098 Ellipsis 0.49019608 0.5568628 0.05490196],[355 356 390]
[0.2627451 0.43529412 0.5529412 Ellipsis 1.0 1.0 0.0],[ 98 102 103]
[0.73333335 0.63529414 0.9372549 Ellipsis 0.0 0.6862745 0.9529412],[137 175]
[0.78431374 0.69803923 0.9529412 Ellipsis 0.7764706 0.7137255 0.0],[111 112 113]
[0.6784314 0.10588235 0.49411765 Ellipsis 1.0 0.7647059 0.7529412],[427 428]
[0.28235295 0.49019608 0.84313726 Ellipsis 0.11764706 0.4745098 0.7176471],[  0 137 149]
[0.8980392 0.54509807 0.3764706 Ellipsis 0.43137255 1.0 1.0],[137 228]
[0.3019608 0.72156864 0.4 Ellipsis 0.06666667 0.94509804 0.4117647],[  0 288 445]
[0.60784316 0.3137255 0.3372549 Ellipsis 0.8039216 0.1254902 0.6],[214]
[0.45882353 0.6117647 0.7607843 Ellipsis 1.0 0.34509805 0.40392157],[369]
[0.22745098 0.5882353 0.38039216 Ellipsis 1.0 0.32156864 0.01176471],[137 342]
[0.4509804 0.36078432 0.6784314 Ellipsis 0.33333334 0.4509804 0.5176471],[ 0 22]
[0.34117648 0.16862746 0.74509805 Ellipsis 0.20392157 0.627451 1.0],[  0   1 451]
[0.87058824 0.77254903 0.28627452 Ellipsis 0.22352941 0.42745098 0.8980392],[137 262]
[0.03137255 0.6 0.54509807 Ellipsis 0.0 0.20784314 1.0],[438]
[0.40392157 0.4392157 0.84705883 Ellipsis 0.9019608 0.29803923 0.6901961],[  0 415]
[0.3529412 0.38431373 0.41568628 Ellipsis 0.6431373 0.45882353 0.49019608],[137 269]
[0.27450982 0.6431373 0.8745098 Ellipsis 0.12941177 0.9098039 0.00392157],[467]
[0.0 1.0 0.0 Ellipsis 1.0 1.0 1.0],[  0 343 523]
[0.50980395 0.3529412 0.42352942 Ellipsis 1.0 1.0 0.24705882],[286 287 289]
[0.34117648 0.21960784 0.90588236 Ellipsis 0.2627451 0.32156864 0.7921569],[111 112 113]
[0.3647059 0.2509804 0.34509805 Ellipsis 0.45490196 0.39607844 0.0627451],[  0 137 355]
[0.15686275 0.31764707 0.5647059 Ellipsis 0.60784316 0.09411765 0.85882354],[  0 415]
[0.70980394 0.43529412 0.4 Ellipsis 0.2901961 0.0 0.0],[137 392]
[0.5803922 0.23921569 0.59607846 Ellipsis 0.5372549 0.2784314 0.6431373],[204]
[0.36862746 0.24705882 0.6509804 Ellipsis 0.0 0.16470589 0.16862746],[480 506]
[0.6392157 0.21176471 0.6745098 Ellipsis 0.92156863 0.5411765 0.12156863],[  0 137 278]
[0.04705882 1.0 0.0 Ellipsis 0.5568628 0.38039216 0.0],[459]
[0.0 0.6039216 0.39215687 Ellipsis 0.34509805 0.29411766 0.0],[  0 300 341]
[0.46666667 0.15294118 0.62352943 Ellipsis 0.99607843 1.0 0.49803922],[  0 494]
[0.19607843 0.57254905 0.4862745 Ellipsis 0.76862746 0.21176471 0.10588235],[337 343 350]
[0.8901961 0.4862745 0.5921569 Ellipsis 1.0 0.5058824 1.0],[ 37 137]
[0.14901961 0.38431373 0.37254903 Ellipsis 0.0 0.0 0.36078432],[484]
[0.0 0.54901963 0.4627451 Ellipsis 0.27450982 0.4 1.0],[111 112 126 127]
[0.52156866 0.2 0.54901963 Ellipsis 0.0 0.0 0.2784314],[  0 169]
[0.22352941 0.5058824 0.5294118 Ellipsis 0.08235294 0.02352941 0.5764706],[177]
[0.03137255 0.88235295 0.37254903 Ellipsis 1.0 0.0 0.2784314],[  0 358]
[0.2627451 0.3764706 0.5568628 Ellipsis 0.72156864 0.41568628 0.8509804],[ 98  99 100 121]
[0.53333336 0.75686276 0.7921569 Ellipsis 0.21960784 0.47843137 0.0],[12 69]
[0.31764707 0.42745098 0.79607844 Ellipsis 0.8980392 0.14509805 1.0],[121]
[0.16470589 0.20392157 0.5137255 Ellipsis 0.87058824 0.0 0.9490196],[  0 137 526]
[0.7176471 0.7176471 0.99607843 Ellipsis 0.30980393 0.15294118 0.17254902],[ 63 218]
[0.60784316 0.9019608 0.36862746 Ellipsis 0.15294118 0.0 0.00784314],[137 262]
[0.27450982 0.59607846 0.40392157 Ellipsis 0.78431374 0.45490196 0.9254902],[126 129 131]
[0.53333336 0.37254903 0.8392157 Ellipsis 0.9647059 0.03137255 0.83137256],[ 0  2  3 71]
[0.52156866 0.6745098 0.0 Ellipsis 1.0 0.10980392 0.07058824],[488]
[0.7921569 0.4 0.29411766 Ellipsis 0.42745098 0.8509804 0.07450981],[137 240 274]
"[0.32156864 0.39607844 0.38039216 Ellipsis 0.25882354 0.56078434
 0.32941177]",[427 428]
[0.27058825 0.47058824 0.34117648 Ellipsis 1.0 1.0 1.0],[ 72  86 450]
[0.6784314 0.10588235 0.49411765 Ellipsis 0.12941177 0.14509805 0.56078434],[250]
[0.31764707 0.18039216 0.6666667 Ellipsis 0.8862745 0.27450982 0.19215687],[416]
[0.29803923 0.42352942 0.36078432 Ellipsis 0.5647059 0.0 1.0],[134]
[0.40392157 0.3019608 0.9647059 Ellipsis 0.6901961 0.91764706 0.92941177],[0 4]
[0.42745098 0.29803923 0.70980394 Ellipsis 0.21176471 0.9647059 0.5647059],[288 374]
[0.39215687 0.38039216 0.53333336 Ellipsis 0.2784314 0.9529412 0.91764706],[  0 432 433 509]
[0.7176471 0.5411765 0.7019608 Ellipsis 0.04705882 0.60784316 0.23137255],[198]
[0.29411766 0.39607844 0.5058824 Ellipsis 0.5882353 0.23137255 1.0],[119 120]
[0.38039216 0.3882353 0.5764706 Ellipsis 0.6156863 0.85882354 0.01568628],[286 287 289 290]
[0.5058824 0.4117647 0.5686275 Ellipsis 0.52156866 0.50980395 0.73333335],[ 0 38]
[0.34901962 0.4392157 0.43137255 Ellipsis 0.15686275 0.36862746 0.46666667],[137 361]
[0.7254902 0.5294118 0.5764706 Ellipsis 0.15686275 0.30588236 0.4745098],[137 213]
[0.7254902 0.2509804 0.4627451 Ellipsis 0.6862745 0.40392157 0.85490197],[495]
[0.0 1.0 0.00392157 Ellipsis 1.0 0.09803922 0.0],[301 303]
[0.1764706 0.3647059 0.3372549 Ellipsis 0.0 0.22745098 0.7607843],[  0 395]
"[0.20392157 0.28235295 0.69411767 Ellipsis 0.14901961 0.03529412
 0.11764706]",[ 98 106 107]
[0.15686275 0.54901963 0.4745098 Ellipsis 0.22352941 0.8352941 0.6],[314]
[0.24313726 0.58431375 0.32941177 Ellipsis 0.44705883 0.60784316 1.0],[472]
[0.39607844 0.4627451 0.5647059 Ellipsis 0.56078434 0.972549 0.00392157],[  0 525]
[0.70980394 0.30980393 0.45490196 Ellipsis 0.43137255 0.6901961 0.9411765],[150 192]
[0.4862745 0.3647059 0.4392157 Ellipsis 0.6901961 0.62352943 0.37254903],[14]
[0.3137255 0.44705883 0.49019608 Ellipsis 0.62352943 0.40392157 0.9529412],[  0 117 118]
[0.20784314 0.39607844 0.41568628 Ellipsis 0.57254905 0.72156864 0.827451],[433 510]
[0.8 0.5176471 0.5921569 Ellipsis 0.627451 0.4627451 0.8235294],[  0 137 227 240 265 269]
[0.7529412 0.4392157 0.09019608 Ellipsis 0.4862745 0.7529412 0.0],[137 281]
[0.31764707 0.5294118 0.827451 Ellipsis 0.68235296 0.69411767 0.5294118],[ 0 22]
[0.38039216 0.2901961 0.4392157 Ellipsis 0.42352942 0.01176471 0.43137255],[49]
"[0.60784316 0.28627452 0.54901963 0.54901963 0.5019608  0.45490196
 0.6862745  0.21568628 0.65882355 0.5803922  0.5058824  0.84313726
 0.34117648 0.5137255  0.23921569 0.3882353  0.48235294 0.
 0.29803923 0.63529414 0.4627451  0.56078434 0.6117647  0.5803922
 0.4117647  0.8862745  0.63529414 0.4862745  0.6509804  0.76862746
 0.2509804  0.5019608  0.56078434 0.54509807 0.35686275 0.28627452
 0.32156864 0.4509804  0.31764707 0.3372549  0.4627451  0.5568628
 0.5568628  0.78431374 0.5529412  0.36078432 0.7137255  0.8156863
 0.45490196 0.72156864 0.37254903 1.         0.6        0.49411765
 0.74509805 0.75686276 0.14117648 0.54901963 0.47843137 0.26666668
 0.7372549  0.41568628 0.2901961  0.44313726 0.44313726 0.3647059
 0.34117648 0.5921569  0.         0.56078434 0.6117647  1.
 0.4        0.7411765  0.4117647  0.61960787 0.32156864 0.23921569
 0.6117647  0.36862746 0.8509804  0.52156866 0.6039216  0.78431374
 0.61960787 0.18431373 0.3764706  0.79607844 0.74509805 0.3764706
 0.7372549  0.31764707 0.05882353 0.5529412  0.627451   0.69411767
 0.36862746 0.5058824  0.56078434 0.54901963 0.47058824 0.7294118
 0.16470589 0.10588235 1.         0.83137256 0.3254902  0.
 0.30980393 0.6        0.1882353  0.3529412  0.4392157  0.29411766
 0.1882353  0.6627451  0.25490198 0.16078432 0.9490196  0.6
 0.6901961  0.         0.6627451  0.6666667  0.7529412  0.69803923
 0.62352943 0.6431373  0.3372549  0.53333336 0.3647059  0.40784314
 0.30588236 0.14117648 0.9372549  0.10980392 1.         0.54901963
 0.         0.5647059  0.49019608 0.7176471  0.         0.24705882
 0.4862745  0.09411765 0.73333335 0.88235295 0.76862746 0.
 1.         0.34117648 0.36862746 0.7921569  0.53333336 0.23921569
 0.8509804  0.         0.         0.1254902  0.85490197 0.88235295
 0.8        0.9490196  0.         0.40784314 0.21568628 0.61960787
 0.4392157  0.16078432 0.654902   0.9411765  0.20392157 0.40784314
 0.1254902  0.90588236 0.8156863  0.7764706  0.23137255 0.7921569
 0.02352941 0.01176471 0.13333334 0.90588236 0.24313726 1.
 0.         0.5137255  0.5176471  0.7764706  0.9137255  0.00784314
 0.4        0.         0.22745098 0.52156866 0.13333334 0.7529412
 0.9137255  0.14117648 1.         0.4745098  0.7490196  0.
 0.56078434 0.06666667 0.28235295 0.65882355 0.03137255 1.
 0.49803922 0.34117648 0.22745098 0.8352941  0.7019608  0.40392157
 0.07058824 0.32941177 0.6156863  0.7490196  0.05490196 0.84705883
 0.5803922  0.         0.827451   0.47058824 0.5294118  0.
 0.         0.6        0.45882353 0.8392157  1.         0.9254902
 0.84313726 0.48235294 0.3764706  0.13333334 0.12156863 0.13333334
 0.48235294 0.5882353  0.58431375 0.02352941 0.4627451  0.
 0.5137255  0.         0.39215687 0.18039216 0.         0.28235295
 1.         0.         0.89411765 0.35686275 0.20392157 0.44705883
 0.38039216 0.5882353  0.08235294 0.08235294 1.         0.
 1.         0.28235295 0.         0.5803922  0.78039217 0.89411765
 0.05098039 0.05882353 0.02352941 0.23529412 0.61960787 0.8745098
 0.654902   0.1764706  0.9882353  0.39215687 0.         0.54901963
 0.28235295 0.20784314 1.         0.         0.         0.27450982
 0.8666667  0.5882353  0.1764706  0.8745098  0.         0.65882355
 0.3372549  0.69803923 0.5411765  0.6745098  0.40784314 0.89411765
 0.         0.20784314 0.         1.         0.7607843  0.4392157
 0.7607843  0.31764707 0.04705882 0.70980394 0.00784314 0.7647059
 0.01176471 0.6666667  0.56078434 0.53333336 0.         0.25490198
 0.5803922  0.23921569 0.40784314 0.05882353 0.14509805 0.38039216
 0.44705883 0.7411765  1.         0.3764706  1.         0.7764706
 0.37254903 0.         0.2784314  0.16470589 0.58431375 0.6313726
 0.09803922 0.7647059  0.2784314  0.83137256 0.99215686 0.60784316
 0.8666667  1.         0.17254902 0.42352942 0.3647059  0.6039216
 0.19607843 0.7254902  0.21960784 0.12156863 0.95686275 0.12941177
 0.92941177 0.1882353  0.         0.44705883 0.34509805 1.
 0.2        0.91764706 0.69803923 0.8627451  0.0627451  0.7490196
 0.         0.61960787 0.67058825 1.         0.85490197 0.58431375
 0.50980395 0.45490196 0.68235296 0.         0.         0.56078434
 0.6156863  0.72156864 0.42352942 0.         0.47843137 0.39215687
 0.6431373  0.12941177 0.5372549  0.46666667 0.7764706  0.36862746
 0.3882353  0.5058824  0.5568628  0.6392157  0.47843137 0.27058825
 0.42352942 0.53333336 0.3882353  0.23137255 0.34901962 0.6666667
 0.5764706  0.57254905 0.22352941 0.6627451  0.38431373 0.5882353
 0.4862745  0.59607846 0.4862745  0.6        0.48235294 0.4745098
 0.5254902  0.54509807 0.4392157  0.49411765 0.627451   0.5764706
 0.44705883 0.42352942 0.50980395 0.4        0.5019608  0.69803923
 0.49411765 0.62352943 0.5803922  0.43529412 0.52156866 0.46666667
 0.49803922 0.54901963 0.2901961  0.72156864 0.61960787 0.32941177
 0.41960785 0.54509807 0.41568628 0.39607844 0.24313726 0.63529414
 0.5921569  0.5137255  0.54901963 0.5764706  0.30588236 0.5294118
 0.39607844 0.3764706  0.4392157  0.7019608  0.3372549  0.6666667
 0.49803922 0.57254905 0.4117647  0.57254905 0.5019608  0.4745098
 0.5411765  0.33333334 0.62352943 0.5176471  0.5686275  0.6039216
 0.3019608  0.49019608 0.4509804  0.5058824  0.58431375 0.5058824
 0.6313726  0.37254903 0.40392157 0.5294118  0.68235296 0.5058824
 0.5176471  0.5254902  0.3019608  0.16078432 0.4745098  0.5882353
 0.5176471  0.17254902 0.6039216  0.5568628  0.32941177 0.6509804
 0.21176471 0.6117647  0.5647059  0.3137255  0.4745098  0.3882353
 0.3882353  0.45490196 0.3019608  0.6313726  0.27450982 0.65882355
 0.         0.56078434 0.6666667  0.6313726  0.5176471  0.40392157
 0.39607844 0.6901961 ]",[485]
[0.1254902 0.37254903 0.5176471 Ellipsis 1.0 1.0 0.8509804],[ 98 102 103 111 112]
[0.0 1.0 0.09803922 Ellipsis 0.33333334 0.0 1.0],[343 347]
[0.21568628 0.2627451 0.6313726 Ellipsis 0.17254902 0.54509807 0.7372549],[  0 341]
[0.7019608 0.38039216 0.3254902 Ellipsis 0.5058824 0.74509805 1.0],[137 142]
[0.15294118 0.33333334 0.44313726 Ellipsis 0.56078434 0.4509804 1.0],[300 306 307 343 513 520 523]
[0.43529412 0.39607844 0.96862745 Ellipsis 0.85882354 0.09411765 0.7764706],[  0  19  27 137]
[0.0 0.8117647 0.28627452 Ellipsis 1.0 0.31764707 0.7019608],[123]
[0.7529412 0.32941177 0.39215687 Ellipsis 0.36078432 0.47843137 0.5411765],[161 162 164 165 166 171 172]
[0.40392157 0.13333334 0.6313726 Ellipsis 0.46666667 1.0 0.35686275],[  0 400]
[0.7490196 0.75686276 0.9490196 Ellipsis 0.27450982 0.54901963 0.7411765],[209]
[0.20392157 0.4509804 0.8784314 Ellipsis 0.4117647 0.5372549 0.24313726],[364 365]
